Renner,Ploeg,Prijs
J. Vingegaard,Team Visma | Lease a Bike,€ 6.50 M
G. Pellizzari,Red Bull - BORA - ...,€ 4.50 M
J. Milan,Lidl - Trek,€ 4.00 M
T. Andresen,Decathlon CMA CG...,€ 3.50 M
F. Gall,Decathlon CMA CG...,€ 3.50 M
D. Gee,Lidl - Trek,€ 3.00 M
A. Yates,UAE Team Emirate...,€ 3.00 M
S. Kuss,Team Visma | Leas...,€ 3.00 M
O. Aular,Movistar Team,€ 2.50 M
K. Groves,Alpecin-Premier Te...,€ 2.50 M
D. Piganzoli,Team Visma | Leas...,€ 2.50 M
T. Arensman,INEOS Grenadiers,€ 2.50 M
J. Hindley,Red Bull - BORA - ...,€ 2.50 M
G. Ciccone,Lidl - Trek,€ 2.00 M
M. Poole,Team Picnic PostNL,€ 2.00 M
J. Vine,UAE Team Emirate...,€ 2.00 M
E. Affini,Team Visma | Leas...,€ 2.00 M
P. Magnier,Soudal Quick-Step,€ 2.00 M
A. De Lie,Lotto Intermarché,€ 2.00 M
D. Groenewegen,Unibet Rose Rockets,€ 2.00 M
E. Mas,Movistar Team,€ 2.00 M
B. O'Connor,Team Jayco AlUla,€ 2.00 M
E. Vernon,NSN Cycling Team,€ 2.00 M
L. Fortunato,XDS Astana Team,€ 1.50 M
D. Caruso,Bahrain Victorious,€ 1.50 M
E. Bernal,INEOS Grenadiers,€ 1.50 M
E. Rubio,Movistar Team,€ 1.50 M
C. van Uden,Team Picnic PostNL,€ 1.50 M
W. Kelderman,Team Visma | Leas...,€ 1.50 M
B. Lemmen,Team Visma | Leas...,€ 1.50 M
T. Kielich,Team Visma | Leas...,€ 1.50 M
P. Ackermann,Team Jayco AlUla,€ 1.50 M
E. Blikra,Uno-X Mobility,€ 1.50 M
S. Buitrago,Bahrain Victorious,€ 1.50 M
V. Campenaerts,Team Visma | Leas...,€ 1.50 M
F. Ganna,INEOS Grenadiers,€ 1.50 M
T. Rex,Team Visma | Leas...,€ 1.50 M
C. Scaroni,XDS Astana Team,€ 1.00 M
M. Storer,Tudor Pro Cycling ...,€ 1.00 M
M. Moschetti,Pinarello-Q36.5 Pr...,€ 1.00 M
G. Lonardi,Team Polti VisitMalta,€ 1.00 M
B. Turner,INEOS Grenadiers,€ 1.00 M
C. Strong,NSN Cycling Team,€ 1.00 M
M. Govekar,Bahrain Victorious,€ 1.00 M
J. Christen,UAE Team Emirate...,€ 1.00 M
M. Malucelli,XDS Astana Team,€ 1.00 M
P. Penhoët,Groupama - FDJ U...,€ 1.00 M
M. Soler,UAE Team Emirate...,€ 1.00 M
L. Van Eetvelt,Lotto Intermarché,€ 1.00 M
D. van Poppel,Red Bull - BORA - ...,€ 1.00 M
A. Vlasov,Red Bull - BORA - ...,€ 1.00 M
D. Ulissi,XDS Astana Team,€ 750 K
E. Zambanini,Bahrain Victorious,€ 750 K
E. Zanoncello,Bardiani CSF 7 Saber,€ 750 K
L. Mozzato,Tudor Pro Cycling ...,€ 750 K
J. Plowright,Alpecin-Premier Te...,€ 750 K
D. Ballerini,XDS Astana Team,€ 750 K
S. Consonni,Lidl - Trek,€ 750 K
A. Ghebreigzabhier,Lidl - Trek,€ 750 K
M. Menten,Lotto Intermarché,€ 750 K
J. Narváez,UAE Team Emirate...,€ 750 K
A. Segaert,Bahrain Victorious,€ 750 K
M. Sheffield,INEOS Grenadiers,€ 750 K
M. Sobrero,Lidl - Trek,€ 750 K
T. Teutenberg,Lidl - Trek,€ 750 K
M. Walscheid,Lidl - Trek,€ 750 K
